Archivo,Tipo,Fecha,Número de Factura,Emisor,Cliente,CIF,Modelo,Matricula,Base,IVA,Importe,Tasas
828613_pinchete.pdf,COMPRA,31/05/2025,FC I25 0100000604,RECAMBIOS PINCHETE S.L,"NEW SATELITE, S.L.",B86898384,No encontrado,NEWSATELITE,"574,23",0.21,"694,82 €",No encontrado
835485_pinchete.pdf,COMPRA,15/06/2025,FC I25 0100000630,RECAMBIOS PINCHETE S.L,"NEW SATELITE, S.L.",B86898384,No encontrado,NEWSATELITE,"170,73",0.21,"206,58 €",No encontrado
A19440_refialias.pdf,COMPRA,01-04-25,A/19440,REFIALIAS S.L,"NEW SATELITE, S.L.",B80843055,No encontrado,PARAGOLPES,"40,00",0.21,"48,40 €",No encontrado
C280__25_0353097_sumauto.pdf,COMPRA,09/04/2025,C280FP25_0353097,"Sumauto Motor, S.L.","NEW SATELITE, S.L.",B88049341,No encontrado,No encontrado,"92,00",0.21,"111,32 €",No encontrado
C280__25_0358258_sumauto.pdf,COMPRA,09/06/2025,C280FP25_0358258,"Sumauto Motor, S.L.","NEW SATELITE, S.L.",B88049341,No encontrado,No encontrado,"130,01",0.21,"157,31 €",No encontrado
DCAA30D123B209A27E3121CC8AC1E489_LEROY.pdf,COMPRA,25/03/2025,050-0003-049022,Leroy Merlin Espana S.L.U,"NEW SATELITE, S.L.",B84818442,No encontrado,BRICOLAJE,"45,60",0.21,"55,18 €",No encontrado
desguace el poyo.pdf,COMPRA,08/04/2025,F00489/2025,PEDRO GARRIDO RODRÍGUEZ,"NEW SATELITE, S.L.",75388055N,No encontrado,0227Des,"30,00",0.21,"36,30 €",No encontrado
F2501759_desguace caravana.pdf,COMPRA,09/04/2025,F-25-01759,LA CARAVANA SL,"NEW SATELITE, S.L.",B30378129,No encontrado,Importe,"58,68",0.21,"71,00 €",No encontrado
Factura 1-001134_MALAGA.pdf,COMPRA,27/05/2025,1 001134,EURO DESGUACES MALAGA S.L,"NEW SATELITE, S.L.",B92329663,No encontrado,Factura,"61,98",0.21,"75,00 €",No encontrado
Factura 6-003001_candelar.pdf,COMPRA,10/06/2025,6-003001,"ACCESORIOS PARA VEHICULOS CANTELAR, S.L.","NEW SATELITE, S.L.",B75526939,No encontrado,No encontrado,"58,25",0.21,"70,48 €",No encontrado
Factura_25D022748-00101717- (1 de 2)_beroil.PDF,COMPRA,31/05/2025,25D022748,"BEROIL, S.L.U","NEW SATELITE, S.L.",B09417957,No encontrado,No encontrado,"64,12",0.21,"77,59 €",No encontrado
FACTURA_AUTOCASHER PILAS_CASCAJO.pdf,COMPRA,29/05/2025,2501416,"AUTOCASHER PILAS, SL","NEW SATELITE, S.L.",B10754588,No encontrado,NEWSATELITE,"250,00",0.21,"302,50 €",No encontrado
Factura_CESVIrecambios_R2025033798_CESVIMAP.pdf,COMPRA,25/03/2025,2025033798,CENTRO DE EXPERIMENTACIÓN Y SEGURIDAD VIAL MAPFRE,"NEW SATELITE, S.L.",A28272474,No encontrado,Cliente,"62,50",0.21,"75,63 €",No encontrado
FE_M5002270_20250429_combustibles_fiel_marco.PDF,COMPRA,29-04-2025,M5 2270,"COMBUSTIBLES FIEL, S.L.","NEW SATELITE, S.L.",84192483C,No encontrado,2483Cif,"247,93",0.21,"300,00 €",No encontrado
FRA ABRIL25_pradilla_page_1.pdf,COMPRA,15/04/2025,25010126,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,3902LJS,"42,25",0.21,"51,12 €","55,70"
FRA ABRIL25_pradilla_page_2.pdf,COMPRA,15/04/2025,25010127,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,7645LCL,"42,25",0.21,"51,12 €","55,70"
FRA ABRIL25_pradilla_page_3.pdf,COMPRA,30/04/2025,25012359,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,9670KTW,"42,25",0.21,"51,12 €","55,70"
FRA ABRIL25_pradilla_page_4.pdf,COMPRA,30/04/2025,25012361,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,6150KYY,"42,25",0.21,"51,12 €","55,70"
FRA ABRIL25_pradilla1_page_1.pdf,COMPRA,01/04/2025,25010126,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,3902LJS,"42,25",0.21,"51,12 €","55,70"
FRA MARZO 25 NEW SATELITE_pradilla1_page_1.pdf,COMPRA,31/03/2025,25008906,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,8079GTG,"11,45",0.21,"13,86 €","10,00"
FRA MARZO 25 NEW SATELITE_pradilla1_page_2.pdf,COMPRA,31/03/2025,25008907,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,8079GTG,"40,85",0.21,"49,43 €","55,70"
FRA MARZO 25 NEW SATELITE_pradilla1_page_3.pdf,COMPRA,31/03/2025,25008922,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,7642LCL,"43,65",0.21,"52,82 €","55,70"
FRA MARZO 25 NEW SATELITE_pradilla1_page_4.pdf,COMPRA,31/03/2025,NEW,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,9978KWK,"42,25",0.21,"51,12 €","55,70"
FRA MAYO 25 NEW SATELITE_pradilla1_page_1.pdf,COMPRA,30/05/2025,25015030,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,7625LCL,"43,05",0.21,"52,09 €","55,70"
FRA MAYO 25 NEW SATELITE_pradilla1_page_2.pdf,COMPRA,30/05/2025,25015028,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,3441LPT,"43,05",0.21,"52,09 €","55,70"
FRA MAYO 25 NEW SATELITE_pradilla1_page_3.pdf,COMPRA,30/05/2025,25015029,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,5816LGY,"43,05",0.21,"52,09 €","55,70"
FRA502-2025-25_boxes.pdf,COMPRA,28/03/2025,502/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,2416KZM,"400,70",0.21,"484,85 €",No encontrado
FRA503-2025-25_boxes.pdf,COMPRA,28/03/2025,503/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,3902LJS,"153,48",0.21,"185,71 €",No encontrado
FRA656-2025-25_boxes.pdf,COMPRA,22/04/2025,656/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,9670KTW,"405,84",0.21,"491,07 €",No encontrado
FRA763-2025-25_boxes.pdf,COMPRA,19/05/2025,763/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,5816LGY,"100,69",0.21,"121,83 €",No encontrado
FRA765-2025-25_boxes.pdf,COMPRA,19/05/2025,765/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,2086KZL,"156,27",0.21,"189,09 €",No encontrado
FRA838-2025-25_boxes.pdf,COMPRA,27/05/2025,838/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,7752LJX,"181,74",0.21,"219,91 €",No encontrado
FRA839-2025-25_boxes.pdf,COMPRA,27/05/2025,839/25,"BOXES INTEGRALCAR, S.L","NEW SATELITE, S.L.",B-84962851,No encontrado,5812LGY,"90,87",0.21,"109,95 €",No encontrado
Fra_FCR202500000011900_hergar.pdf,COMPRA,31/03/2025,11900,GESTIÓN DE RESIDUOS S.A.,"NEW SATELITE, S.L.",A-78009172,No encontrado,SATELITE,"13,51",0.21,"16,35 €",No encontrado
Fra_FCR202500000013507_hergar.pdf,COMPRA,10/04/2025,13507,GESTIÓN DE RESIDUOS S.A.,"NEW SATELITE, S.L.",A-78009172,No encontrado,SATELITE,"7,21",0.21,"8,72 €",No encontrado
Fra_FCR202500000015810_hergar.pdf,COMPRA,30/04/2025,15810,GESTIÓN DE RESIDUOS S.A.,"NEW SATELITE, S.L.",A-78009172,No encontrado,SATELITE,"25,32",0.21,"30,64 €",No encontrado
FT225_1024_musas.pdf,COMPRA,14/05/2025,FT225 1024,"Motor Las Musas, S.L.","NEW SATELITE, S.L.",B81583445,KANGOO,5816LGY,"18,50",0.21,"22,39 €",No encontrado
FT225_1084_musas.pdf,COMPRA,22/05/2025,FT225 1084,"Motor Las Musas, S.L.","NEW SATELITE, S.L.",B81583445,KANGOO,7625LCL,"18,50",0.21,"22,39 €",No encontrado
FT225_844_motor las musas.pdf,COMPRA,21/04/2025,FT225 844,"Motor Las Musas, S.L.","NEW SATELITE, S.L.",B81583445,CORSA-E,9670KTW,"58,35",0.21,"70,60 €",No encontrado
FT225_860_musas.pdf,COMPRA,23/04/2025,FT225 860,"Motor Las Musas, S.L.","NEW SATELITE, S.L.",B81583445,FABIA,6150KYY,"17,50",0.21,"21,18 €",No encontrado
FT225_892_New Satelite_las musas.pdf,COMPRA,25/04/2025,FT225 892,"Motor Las Musas, S.L.","NEW SATELITE, S.L.",B81583445,KANGOO,3441LPT,"18,45",0.21,"22,32 €",No encontrado
FT225_961_NEW SATELITE_musas.pdf,COMPRA,08/05/2025,FT225 961,"Motor Las Musas, S.L.","NEW SATELITE, S.L.",B81583445,KANGOO,7752LJX,"18,45",0.21,"22,32 €",No encontrado
FV-CR-02-2025-000226_aema.pdf,COMPRA,31/03/2025,FV-CR-02-2025-000226,"NEUMÁTICOS AEMA, S.A.","NEW SATELITE, S.L.",A28625036,"RENAULT KANGOO, RENAULT CLIO, VOLKSWAGEN GOLF, RENAULT kangoo, RENAULT KANGOO, RENAULT KANGOO","9978KWK, 9255LHR, 0031KRG, 0468KPN, 7642LCL, 7645LCL","1428,98",0.21,"1729,07 €",No encontrado
ILAE60D434._autodescuento.pdf,COMPRA,03/06/2025,5021,AUTODESCUENTO SL,"NEW SATELITE, S.L.",B83701003,No encontrado,Cantabria,"99,00",0.21,"119,79 €",No encontrado
ILAE7F7534_autodescuento.pdf,COMPRA,06/05/2025,4162,AUTODESCUENTO SL,"NEW SATELITE, S.L.",B83701003,No encontrado,Cantabria,"99,00",0.21,"119,79 €",No encontrado
LGT2343-Factura final_NORTHGATE.pdf,COMPRA,29/05/2025,VO-2025005930,NORTHGATE ESPAÑA RENTING FLEXIBLE S.A.,"NEW SATELITE, S.L.",A28659423,RENAULT KANGOO EXPRESS 1.5 DCI 55KW PROFESIONAL E6 (75CV),2343-LGT,"6.173,56",0.21,"7.470,01",No encontrado
New Satelite factura 25- 1628 de Berolkemi.pdf,COMPRA,10/06/2025,25/1628,"BEROL KEMI, S.L","NEW SATELITE, S.L.",B79841052,No encontrado,No encontrado,"43,00",0.21,"52,03 €",No encontrado
RECICLADOS AUTO4 SL_FACTURAV_2025000711FRU_RECOAUTOS.pdf,COMPRA,17/06/2025,2025000711/FRU,"RECOAUTOS DESGUACE PREMIUM, S.L.","NEW SATELITE, S.L.",B40243719,No encontrado,FACTURA,"74,38",0.21,"90,00 €",No encontrado
RECOAUTOS DESGUACE PREMIUM S.L._FACTURAV_2025010176FRU_RECOAUTOS.pdf,COMPRA,26/05/2025,2025010176/FRU,"RECOAUTOS DESGUACE PREMIUM, S.L.","NEW SATELITE, S.L.",B19897925,No encontrado,FACTURA,"66,12",0.21,"80,01 €",No encontrado
RECUPERACIONES COLOMER S.L._FACTURAV_2025005504N.pdf,COMPRA,30/05/2025,N-2025005504,FACTURA DE VENTA,"NEW SATELITE, S.L.",B13101423,RENAULT KANGOO,FACTURA,"88,43",0.21,"107,00 €",No encontrado
Wurth_factura_4733937515.PDF,COMPRA,22/04/2025,4733937515,"WÜRTH ESPAÑA, S.A.","NEW SATELITE, S.L.",A08472276,No encontrado,No encontrado,"46,95",0.21,"56,81 €",No encontrado
